投稿日,タイトル,再生数
2020-04-19,笑える研究論文を表彰「イグノーベル賞」ってどんなの？【ヨビノリ】,2020016
2020-04-17,クイズ王なら、画像クイズを画像なしでも解ける説,2689796
2020-04-15,激論！朝からそれ正解 in America【日本語】,747684
2020-04-11,【東大生検証】東大生は影だけですべて理解できるのか！？【影絵】,1696172
2020-04-10,使えない東大生たち,2139174
2020-04-08,【ご報告】QuizKnock会いません！今後のチャンネルとイベントは,857615
2020-04-07,小学校で習う漢字を書けない東大生がいます,3080215
2020-04-06,自分だけクイズ誤答って恥地獄じゃない？,1838382
2020-04-04,【理不尽】答えが被ったら得点になりません,1933382
2020-04-03,クイズ王の知識量を予想せよ！世界の国の首都をいくつ言える？【知識の限界】,2465495
2020-04-02,おかねに関する常識チェック～うわっ、私の価値観ヤバすぎ！？,1275740
2020-03-31,東大生がもじぴったんやったら最強語彙連発ww,1803320
2020-03-30,【視聴者への挑戦状】あるなしクイズ、QuizKnockより早く解ける？,1219174
2020-03-28,誰が何位になるのか？インテリYouTuberガチすぎる知識力試験,1499082
2020-03-27,伊沢vs伊沢vs伊沢vs伊沢,1004486
2020-03-27,漢字いらねぇ！ひらがなカタカナだけでもクイズ解けるのか【東大生検証】,1381031
2020-03-25,【魔改造】山手線《特急》ゲームで知識比べ！,1742867
2020-03-24,世界一かっこいいクイズ大会,1209491
